model,test_mse,int_par,rep_id
BCF,1.3427326199426988,0.5,0
BCF,1.281861810036718,1.0,0
BCF,1.247343948535232,1.5,0
BCF,1.1590568818957896,2.0,0
BCF,1.0030470948029155,2.5,0
BCF,0.9253195519672214,3.0,0
BCF,0.8676727847921388,3.5,0
BCF,0.8775510665604627,3.99,0
CF,1.5120641396095567,0.5,0
CF,1.3918971601192889,1.0,0
CF,1.3124359290616767,1.5,0
CF,1.2141849371171167,2.0,0
CF,1.0683193394233332,2.5,0
CF,0.9495799271163671,3.0,0
CF,0.8420558702373709,3.5,0
CF,0.8227567944503005,3.99,0
OLS,0.7506846055411762,0.5,0
OLS,0.8971763393424808,1.0,0
OLS,1.0598009011723482,1.5,0
OLS,1.287314461316877,2.0,0
OLS,1.6013149795273676,2.5,0
OLS,2.2583136588322885,3.0,0
OLS,3.100597860229543,3.5,0
OLS,4.31969677726533,3.99,0
IMP,1.2600836788208105,0.5,0
IMP,1.2600836788208105,1.0,0
IMP,1.2600836788208105,1.5,0
IMP,1.2600836788208107,2.0,0
IMP,1.2600836788208105,2.5,0
IMP,1.2600836788208105,3.0,0
IMP,1.2600836788208105,3.5,0
IMP,1.2600836788208105,3.99,0
Causal,1.9379427436641719,0.5,0
Causal,1.9379427436641716,1.0,0
Causal,1.9379427436641719,1.5,0
Causal,1.9379427436641719,2.0,0
Causal,1.9379427436641719,2.5,0
Causal,1.9379427436641719,3.0,0
Causal,1.9379427436641719,3.5,0
Causal,1.9379427436641716,3.99,0
BCF,1.4331784871953117,0.5,1
BCF,1.469592736718888,1.0,1
BCF,1.51035546201004,1.5,1
BCF,1.5773390461483163,2.0,1
BCF,1.6401943741663987,2.5,1
BCF,1.7392390696831932,3.0,1
BCF,1.7257562482515325,3.5,1
BCF,1.6011056727007973,3.99,1
CF,3.7255397829442307,0.5,1
CF,3.881804034697902,1.0,1
CF,3.989438739781048,1.5,1
CF,4.051651986217509,2.0,1
CF,4.149853405530952,2.5,1
CF,4.2482540756766864,3.0,1
CF,4.235412157363633,3.5,1
CF,4.074162941784919,3.99,1
OLS,0.6686696730381827,0.5,1
OLS,0.8030348534036219,1.0,1
OLS,0.9828411401230699,1.5,1
OLS,1.2064452258075562,2.0,1
OLS,1.657656520087221,2.5,1
OLS,2.205564406603318,3.0,1
OLS,2.9621353880198313,3.5,1
OLS,3.9280482447826968,3.99,1
IMP,1.164626937595857,0.5,1
IMP,1.164626937595857,1.0,1
IMP,1.164626937595857,1.5,1
IMP,1.164626937595857,2.0,1
IMP,1.164626937595857,2.5,1
IMP,1.164626937595857,3.0,1
IMP,1.164626937595857,3.5,1
IMP,1.164626937595857,3.99,1
Causal,1.9371200059641387,0.5,1
Causal,1.9371200059641385,1.0,1
Causal,1.9371200059641385,1.5,1
Causal,1.9371200059641387,2.0,1
Causal,1.9371200059641387,2.5,1
Causal,1.9371200059641387,3.0,1
Causal,1.9371200059641387,3.5,1
Causal,1.9371200059641385,3.99,1
BCF,1.5499140329274068,0.5,2
BCF,1.440914396195986,1.0,2
BCF,1.3714268956763835,1.5,2
BCF,1.3632954281076983,2.0,2
BCF,1.3051850838290275,2.5,2
BCF,1.2067959017471226,3.0,2
BCF,1.1101015184556695,3.5,2
BCF,1.0178396562364331,3.99,2
CF,1.7044881982898688,0.5,2
CF,1.661290292956351,1.0,2
CF,1.6172465852680706,1.5,2
CF,1.5976667320272777,2.0,2
CF,1.5442400810126446,2.5,2
CF,1.4699837932650335,3.0,2
CF,1.376664744134196,3.5,2
CF,1.3034460568021848,3.99,2
OLS,0.7637343437948482,0.5,2
OLS,0.8505632041697154,1.0,2
OLS,0.9901057230604532,1.5,2
OLS,1.1764102502338385,2.0,2
OLS,1.6351043213735852,2.5,2
OLS,2.1828641489268783,3.0,2
OLS,2.900799375958515,3.5,2
OLS,3.828194198388432,3.99,2
IMP,1.337912586338448,0.5,2
IMP,1.337912586338448,1.0,2
IMP,1.337912586338448,1.5,2
IMP,1.337912586338448,2.0,2
IMP,1.337912586338448,2.5,2
IMP,1.337912586338448,3.0,2
IMP,1.337912586338448,3.5,2
IMP,1.337912586338448,3.99,2
Causal,2.0514774390016353,0.5,2
Causal,2.0514774390016353,1.0,2
Causal,2.0514774390016353,1.5,2
Causal,2.0514774390016357,2.0,2
Causal,2.0514774390016357,2.5,2
Causal,2.0514774390016357,3.0,2
Causal,2.0514774390016353,3.5,2
Causal,2.0514774390016357,3.99,2
BCF,1.3429297626048124,0.5,3
BCF,1.351680483777774,1.0,3
BCF,1.5340442837359978,1.5,3
BCF,1.7161860277078185,2.0,3
BCF,1.87193378134362,2.5,3
BCF,2.119008378195813,3.0,3
BCF,2.2311938159636164,3.5,3
BCF,2.3797968551844715,3.99,3
CF,2.667804735958405,0.5,3
CF,2.7947349815602385,1.0,3
CF,2.942794886624752,1.5,3
CF,3.169136185489713,2.0,3
CF,3.4299599507964893,2.5,3
CF,3.7168892788834946,3.0,3
CF,3.8417319538830306,3.5,3
CF,3.957310451988381,3.99,3
OLS,0.743923781189175,0.5,3
OLS,0.8478314981748534,1.0,3
OLS,0.9916369495724626,1.5,3
OLS,1.1770568458550474,2.0,3
OLS,1.4884220951817233,2.5,3
OLS,1.9488695591758867,3.0,3
OLS,2.7296671629648666,3.5,3
OLS,3.4541133512462334,3.99,3
IMP,1.1254642207682433,0.5,3
IMP,1.1254642207682435,1.0,3
IMP,1.1254642207682433,1.5,3
IMP,1.1254642207682433,2.0,3
IMP,1.1254642207682433,2.5,3
