model,test_mse,int_par,rep_id
BCF,1.006666775792098,0.5,0
BCF,1.0372676320598913,1.0,0
BCF,1.0648836403192414,1.5,0
BCF,1.1107355895290802,2.0,0
BCF,1.1307251975044745,2.5,0
BCF,1.1897524120315064,3.0,0
BCF,1.299442962839702,3.5,0
BCF,1.477624445506523,3.99,0
CF,4.922538287674823,0.5,0
CF,4.9449108248563425,1.0,0
CF,4.95364406639924,1.5,0
CF,4.954712934143637,2.0,0
CF,4.937222154706506,2.5,0
CF,4.983967741490187,3.0,0
CF,5.05436777609643,3.5,0
CF,5.153476520657172,3.99,0
OLS,0.3729360457800076,0.5,0
OLS,0.7988582640063036,1.0,0
OLS,1.1310423864990289,1.5,0
OLS,1.5409695557153646,2.0,0
OLS,1.7534275481717818,2.5,0
OLS,1.9192596418467438,3.0,0
OLS,2.0571367532359552,3.5,0
OLS,2.125062391779725,3.99,0
IMP,1.1173281827427135,0.5,0
IMP,1.1173281827427135,1.0,0
IMP,1.1173281827427135,1.5,0
IMP,1.1173281827427135,2.0,0
IMP,1.1173281827427135,2.5,0
IMP,1.1173281827427135,3.0,0
IMP,1.1173281827427135,3.5,0
IMP,1.1173281827427135,3.99,0
Causal,1.926836790465898,0.5,0
Causal,1.926836790465898,1.0,0
Causal,1.926836790465898,1.5,0
Causal,1.926836790465898,2.0,0
Causal,1.926836790465898,2.5,0
Causal,1.926836790465898,3.0,0
Causal,1.926836790465898,3.5,0
Causal,1.926836790465898,3.99,0
BCF,1.2542698913132755,0.5,1
BCF,1.2499763769630574,1.0,1
BCF,1.2650548915529818,1.5,1
BCF,1.2278530393552698,2.0,1
BCF,1.2932274464060753,2.5,1
BCF,1.3180434700719668,3.0,1
BCF,1.3252824565885544,3.5,1
BCF,1.3447513913094225,3.99,1
CF,7.582153833936831,0.5,1
CF,7.709322024802441,1.0,1
CF,7.868860008680377,1.5,1
CF,7.915258440990467,2.0,1
CF,8.035255628577161,2.5,1
CF,8.057007681345162,3.0,1
CF,8.04786259454655,3.5,1
CF,8.00775885195319,3.99,1
OLS,0.34811539480409565,0.5,1
OLS,0.7205730484986862,1.0,1
OLS,1.0938857082946924,1.5,1
OLS,1.4662722363971112,2.0,1
OLS,1.8998267120498926,2.5,1
OLS,2.01550006543211,3.0,1
OLS,1.952636970910417,3.5,1
OLS,2.2232612352691614,3.99,1
IMP,1.243489400136826,0.5,1
IMP,1.243489400136826,1.0,1
IMP,1.243489400136826,1.5,1
IMP,1.2434894001368262,2.0,1
IMP,1.243489400136826,2.5,1
IMP,1.2434894001368262,3.0,1
IMP,1.243489400136826,3.5,1
IMP,1.243489400136826,3.99,1
Causal,2.073341763161169,0.5,1
Causal,2.073341763161169,1.0,1
Causal,2.073341763161169,1.5,1
Causal,2.073341763161169,2.0,1
Causal,2.073341763161169,2.5,1
Causal,2.0733417631611695,3.0,1
Causal,2.073341763161169,3.5,1
Causal,2.073341763161169,3.99,1
BCF,1.0646706741221332,0.5,2
BCF,1.0458338640287783,1.0,2
BCF,1.0602602320056307,1.5,2
BCF,1.0690215131417453,2.0,2
BCF,1.0601515252835816,2.5,2
BCF,1.0899401481909303,3.0,2
BCF,1.0887705161115468,3.5,2
BCF,1.1322602184850772,3.99,2
CF,1.5806773873464182,0.5,2
CF,1.5665185774178616,1.0,2
CF,1.57289473378188,1.5,2
CF,1.5775476810946663,2.0,2
CF,1.5608130797308495,2.5,2
CF,1.5379257925350833,3.0,2
CF,1.510476395683166,3.5,2
CF,1.4940740043263385,3.99,2
OLS,0.38048501186006445,0.5,2
OLS,0.634647428796379,1.0,2
OLS,1.0043871831509266,1.5,2
OLS,1.359396899343772,2.0,2
OLS,1.5525985373798317,2.5,2
OLS,1.6909541054048094,3.0,2
OLS,1.6843940036777503,3.5,2
OLS,1.7340287211076482,3.99,2
IMP,1.114915936559254,0.5,2
IMP,1.1149159365592543,1.0,2
IMP,1.1149159365592543,1.5,2
IMP,1.1149159365592543,2.0,2
IMP,1.1149159365592543,2.5,2
IMP,1.1149159365592545,3.0,2
IMP,1.1149159365592545,3.5,2
IMP,1.1149159365592543,3.99,2
Causal,1.972285658654978,0.5,2
Causal,1.972285658654978,1.0,2
Causal,1.972285658654978,1.5,2
Causal,1.972285658654978,2.0,2
Causal,1.972285658654978,2.5,2
Causal,1.972285658654978,3.0,2
Causal,1.972285658654978,3.5,2
Causal,1.972285658654978,3.99,2
BCF,1.4030318530748827,0.5,3
BCF,1.363961642068797,1.0,3
BCF,1.3106465788578199,1.5,3
BCF,1.2598864633912927,2.0,3
BCF,1.2607718560791958,2.5,3
BCF,1.213392509182075,3.0,3
BCF,1.1425832302113852,3.5,3
