model,test_mse,int_par,rep_id
CF-MLP-5,4.905776329745643,0.5,0
CF-MLP-5,3.844538163964305,1.0,0
CF-MLP-5,3.2442589605320427,1.5,0
CF-MLP-5,2.605427391107153,2.0,0
CF-MLP-5,1.4496237490181643,2.5,0
CF-MLP-5,1.1829773333835387,3.0,0
CF-MLP-5,1.3197061843083422,3.5,0
CF-MLP-5,1.23338767498157,3.99,0
CF-MLP-5,1.6266290541114026,0.5,1
CF-MLP-5,1.821091083052035,1.0,1
CF-MLP-5,2.3745534212984656,1.5,1
CF-MLP-5,2.5382623562101125,2.0,1
CF-MLP-5,2.91869769190958,2.5,1
CF-MLP-5,3.4092534004789115,3.0,1
CF-MLP-5,2.9751026413715707,3.5,1
CF-MLP-5,3.095099747876047,3.99,1
CF-MLP-5,2.9467809941503575,0.5,2
CF-MLP-5,2.4000303378525034,1.0,2
CF-MLP-5,2.090245174624686,1.5,2
CF-MLP-5,1.898759695052068,2.0,2
CF-MLP-5,2.3940402379791133,2.5,2
CF-MLP-5,2.393684982368448,3.0,2
CF-MLP-5,2.6442576606567862,3.5,2
CF-MLP-5,2.9203228500942915,3.99,2
CF-MLP-5,19.001452436636374,0.5,3
CF-MLP-5,24.51703396870612,1.0,3
CF-MLP-5,30.82961172450878,1.5,3
CF-MLP-5,37.351682961598684,2.0,3
CF-MLP-5,45.926822647371914,2.5,3
CF-MLP-5,52.16348789754143,3.0,3
CF-MLP-5,59.05168470169268,3.5,3
CF-MLP-5,58.84086119213683,3.99,3
CF-MLP-5,1.578452357933065,0.5,4
CF-MLP-5,2.058858806289945,1.0,4
CF-MLP-5,2.485849981314077,1.5,4
CF-MLP-5,3.0332140614595358,2.0,4
CF-MLP-5,3.4625308329636355,2.5,4
CF-MLP-5,4.500884112938957,3.0,4
CF-MLP-5,4.567105677273807,3.5,4
CF-MLP-5,5.004372261262761,3.99,4
CF-MLP-5,17.307456071707957,0.5,5
CF-MLP-5,19.51194876847815,1.0,5
CF-MLP-5,21.538874510504442,1.5,5
CF-MLP-5,25.352767042475698,2.0,5
CF-MLP-5,25.344846415385867,2.5,5
CF-MLP-5,25.69032371932351,3.0,5
CF-MLP-5,25.330897069822857,3.5,5
CF-MLP-5,25.049039497180132,3.99,5
CF-MLP-5,10.404377993347348,0.5,6
CF-MLP-5,10.587308978344748,1.0,6
CF-MLP-5,10.64331870807537,1.5,6
CF-MLP-5,11.66358380718706,2.0,6
CF-MLP-5,11.818756393519896,2.5,6
CF-MLP-5,11.864992489562876,3.0,6
CF-MLP-5,10.33503374565292,3.5,6
CF-MLP-5,8.735087447458547,3.99,6
CF-MLP-5,1.1752567554115358,0.5,7
CF-MLP-5,1.3287691341095464,1.0,7
CF-MLP-5,1.717704012230156,1.5,7
CF-MLP-5,1.9893363968103492,2.0,7
CF-MLP-5,2.3194541505680393,2.5,7
CF-MLP-5,2.7665591835080714,3.0,7
CF-MLP-5,3.2411851694180442,3.5,7
CF-MLP-5,3.1230744303097944,3.99,7
CF-MLP-5,2.6664825652208637,0.5,8
CF-MLP-5,2.513053168294971,1.0,8
CF-MLP-5,3.75346207257997,1.5,8
CF-MLP-5,5.39134981261478,2.0,8
CF-MLP-5,7.4185689577192155,2.5,8
CF-MLP-5,10.168932529789265,3.0,8
CF-MLP-5,14.01341559986291,3.5,8
CF-MLP-5,16.86003266713724,3.99,8
CF-MLP-5,5.238670794928292,0.5,9
CF-MLP-5,5.92530345331567,1.0,9
CF-MLP-5,6.979246147866503,1.5,9
CF-MLP-5,8.106533563665588,2.0,9
CF-MLP-5,9.332673667692019,2.5,9
CF-MLP-5,10.929504135344667,3.0,9
CF-MLP-5,12.41306309980481,3.5,9
CF-MLP-5,12.505734832427102,3.99,9
