Rep,Method,MSE,MSE_standard_error
North/South_Rep6,BCF,0.4796207277892951,0.024063237018546298
North/South_Rep6,BCF-lin,0.5600934269352925,0.07273820273916265
North/South_Rep6,LS,0.23704416507359324,0.015405430655744594
North/South_Rep6,OLS,0.5821398492787428,0.034495734231129074
North/South_Rep6,AVE,1.475537593834983,0.052914513513499316
North/South_Rep2,BCF,0.45096074597761915,0.021920018600861003
North/South_Rep2,BCF-lin,0.47933505210243793,0.028326569522903813
North/South_Rep2,LS,0.23063939839342965,0.014584843675246874
North/South_Rep2,OLS,0.48972849250877853,0.024265199470674074
North/South_Rep2,AVE,1.2784601610977087,0.04317260084203751
North/South_Rep8,BCF,0.4605906957703557,0.023930069283890534
North/South_Rep8,BCF-lin,0.5568665985403355,0.0766887200026263
North/South_Rep8,LS,0.24008888308698653,0.015308587740532023
North/South_Rep8,OLS,0.5203913009705767,0.027426684917116084
North/South_Rep8,AVE,1.3592910734364512,0.0486646712819506
North/South_Rep1,BCF,0.5227139985593744,0.028593174728980587
North/South_Rep1,BCF-lin,1.1233409199759008,0.5663102310347197
North/South_Rep1,LS,0.2841954001905062,0.020094265054421842
North/South_Rep1,OLS,0.679160001572846,0.06709853503685771
North/South_Rep1,AVE,1.485279634421999,0.05224439307100072
North/South_Rep3,BCF,0.47766561935992086,0.022672259005355386
North/South_Rep3,BCF-lin,1.1159302325200269,0.596121651995649
North/South_Rep3,LS,0.24358497889260847,0.015645911520909994
North/South_Rep3,OLS,0.6044652388430936,0.062493259313645015
North/South_Rep3,AVE,1.480149961331237,0.052779928920744845
North/South_Rep5,BCF,0.4685261603748231,0.022796674787516735
North/South_Rep5,BCF-lin,0.6237670400416037,0.09670508996050643
North/South_Rep5,LS,0.22511928615845497,0.014370984931733222
North/South_Rep5,OLS,0.5207880198864773,0.027954811412562126
North/South_Rep5,AVE,1.3932094851897416,0.049260309641076194
North/South_Rep7,BCF,0.45845745827718015,0.023152491616045972
North/South_Rep7,BCF-lin,0.49253621234690315,0.0313949390625959
North/South_Rep7,LS,0.22946230490474553,0.016268716522044455
North/South_Rep7,OLS,0.5243996264401325,0.02811300436726195
North/South_Rep7,AVE,1.3583913011561226,0.04832630725507937
North/South_Rep4,BCF,0.528228575233948,0.026873618833121143
North/South_Rep4,BCF-lin,1.1288246675052596,0.5729626856826564
North/South_Rep4,LS,0.2912893892676171,0.020072400494966152
North/South_Rep4,OLS,0.6259504676481555,0.06838940059725428
North/South_Rep4,AVE,1.4362173621602716,0.05097244264823212
North/South_Rep10,BCF,0.46658344987657613,0.021118559946821523
North/South_Rep10,BCF-lin,0.7114829610170434,0.22136596931031524
North/South_Rep10,LS,0.23049940133961896,0.014659159832189827
North/South_Rep10,OLS,0.5182322287701069,0.033046699039994375
North/South_Rep10,AVE,1.381016112618057,0.04888457737328841
North/South_Rep9,BCF,0.49102815065058314,0.023249727631592568
North/South_Rep9,BCF-lin,0.5863002822567597,0.10092987124506743
North/South_Rep9,LS,0.2425363229531575,0.014836086580631362
North/South_Rep9,OLS,0.5285075532548854,0.02594999925648478
North/South_Rep9,AVE,1.368207739343087,0.04816089035226996
South/North_Rep7,BCF,0.3792629945542607,0.017778142803438014
South/North_Rep7,BCF-lin,0.5063541151110938,0.023756941322170183
South/North_Rep7,LS,0.3097679750814992,0.016596122321074203
South/North_Rep7,OLS,0.6331919254578902,0.06357509917570163
South/North_Rep7,AVE,1.2792300051830823,0.0427015517677855
South/North_Rep2,BCF,0.402402807422421,0.02011877115392022
South/North_Rep2,BCF-lin,0.5498253895870848,0.027465088114053408
South/North_Rep2,LS,0.3271676012657693,0.018715335895286424
South/North_Rep2,OLS,0.5885712359436341,0.028495785611667452
South/North_Rep2,AVE,1.2435442073061767,0.041547457898997144
South/North_Rep4,BCF,0.4168416675543441,0.02155928429018935
South/North_Rep4,BCF-lin,0.6049890557276439,0.0623535091463297
South/North_Rep4,LS,0.3410483306351017,0.020469587182243513
South/North_Rep4,OLS,0.596912632405094,0.030517937271429454
South/North_Rep4,AVE,1.2187342998211976,0.03989824156165598
South/North_Rep3,BCF,0.3682030826782963,0.017236544152759072
South/North_Rep3,BCF-lin,0.5654808956322692,0.07445228404127652
South/North_Rep3,LS,0.3164746948616301,0.016288629465985735
South/North_Rep3,OLS,0.5686033846743307,0.02506695908808038
South/North_Rep3,AVE,1.2381443984016958,0.041207309576625516
South/North_Rep6,BCF,0.3604195600482868,0.01703217620063313
South/North_Rep6,BCF-lin,0.4844931626340263,0.02311366992094969
South/North_Rep6,LS,0.31013062100143246,0.017068026637252116
South/North_Rep6,OLS,0.5570137306270736,0.025635009822362876
South/North_Rep6,AVE,1.246495882992131,0.04051820264708041
South/North_Rep8,BCF,0.3785417139744136,0.018772509027295055
South/North_Rep8,BCF-lin,0.5187580992462995,0.024786726864460724
South/North_Rep8,LS,0.34012128758792876,0.018229675864820268
South/North_Rep8,OLS,0.584527710757704,0.025722204452388375
South/North_Rep8,AVE,1.2908595477087506,0.04162270444306054
South/North_Rep1,BCF,0.3510531944330789,0.015533895847302807
South/North_Rep1,BCF-lin,0.47587756164628275,0.0218498095759172
South/North_Rep1,LS,0.2991556246979707,0.015045237635477228
South/North_Rep1,OLS,0.5931634120186295,0.0672636809223277
South/North_Rep1,AVE,1.2162776742136077,0.03944032224599478
South/North_Rep5,BCF,0.3767328226147798,0.01741123641003655
South/North_Rep5,BCF-lin,0.45862247466710204,0.019950066790263603
South/North_Rep5,LS,0.3050368878871205,0.015495962644884181
South/North_Rep5,OLS,0.5580769499962948,0.024000045552097296
South/North_Rep5,AVE,1.2699667397012817,0.04201715026955413
South/North_Rep10,BCF,0.3631438506057528,0.018110005210886296
South/North_Rep10,BCF-lin,0.48396908722899457,0.023297737518292307
South/North_Rep10,LS,0.3031850070360521,0.017414843336539743
South/North_Rep10,OLS,0.5399186143481858,0.023830421284990213
South/North_Rep10,AVE,1.2481009422474592,0.04085421365143053
South/North_Rep9,BCF,0.37331406357116564,0.017712848872428077
South/North_Rep9,BCF-lin,0.48847712794441595,0.02201940489718999
South/North_Rep9,LS,0.3118108016687303,0.017191518428799298
South/North_Rep9,OLS,0.563689100785847,0.025193292978521502
South/North_Rep9,AVE,1.2012536089131551,0.03933382508018044
East/West_Rep1,BCF,0.4758574676806195,0.022014804024767378
East/West_Rep1,BCF-lin,0.5711489520048657,0.038856322484387
East/West_Rep1,LS,0.35715131259476535,0.02008746505037993
East/West_Rep1,OLS,0.6290096141259672,0.030379310434921137
East/West_Rep1,AVE,1.349931798096681,0.04254590740876652
East/West_Rep5,BCF,0.46928664121327823,0.020828519615079387
East/West_Rep5,BCF-lin,0.5470223404255349,0.03030536272471325
East/West_Rep5,LS,0.33568782836649014,0.01811108621255274
East/West_Rep5,OLS,0.617374051588745,0.02770690405166351
East/West_Rep5,AVE,1.3655799286109065,0.0430863237147465
East/West_Rep6,BCF,0.45637888753728023,0.020687871546728433
East/West_Rep6,BCF-lin,0.5896108112435611,0.042797174395856244
East/West_Rep6,LS,0.3307968223626084,0.01789940011094568
East/West_Rep6,OLS,0.6170549063544275,0.05694536234481693
East/West_Rep6,AVE,1.331830824035724,0.04208170293446877
East/West_Rep4,BCF,0.4228740654656388,0.019230635391042077
East/West_Rep4,BCF-lin,0.5384107743410466,0.03143920072864683
East/West_Rep4,LS,0.31723836030150476,0.01613294019372159
East/West_Rep4,OLS,0.555943662097895,0.02455158801466618
East/West_Rep4,AVE,1.3007199310890063,0.04061397156064378
East/West_Rep8,BCF,0.43356387634560656,0.017982144024279514
